"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_fia" "ABAM" "ABCO" "ABGR" "ABPR" "CHNO" "CADE27" "PISI" "PICO" "PILA" "PIMO3" "PIPO" "PSME" "TABR2" "THPL" "TSHE" "TSME" "POTR5" "POBAT" "QUGA4"
590812 -122.04 47.08 310 0.58 "strong" -110 49.9979303900243 90812 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
600471 -122.1 48.9 210 0.58 "strong" -10 152.44752981568 100471 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
600812 -122.46 48.97 40 0.58 "strong" 160 163.241255618137 100812 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
600955 -122.55 48.99 60 0.58 "strong" 140 166.827636558348 100955 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
586473 -122.86 46.23 210 0.58 "strong" -10 157.590804446395 86473 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
598311 -122.11 48.52 120 0.58 "strong" 80 110.256148575311 98311 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
589184 -122.37 46.76 430 0.59 "strong" -230 89.2739109681801 89184 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
599928 -122.34 48.8 210 0.59 "strong" -10 143.065217973398 99928 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0
600550 -122.31 48.92 20 0.6 "strong" 180 155.942974243444 100550 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
597328 -122.03 48.33 310 0.6 "strong" -110 88.9851569344846 97328 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0
591490 -122.01 47.21 210 0.6 "strong" -10 35.591759990434 91490 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
589396 -122.35 46.8 450 0.6 "strong" -250 84.5770134997558 89396 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
591966 -122.03 47.3 150 0.61 "moderate" 50 25.5400579164108 91966 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
586086 -122.76 46.16 230 0.61 "moderate" -30 162.008479402567 86086 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
587163 -122.95 46.36 210 0.61 "moderate" -10 147.535012016723 87163 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
585665 -122.73 46.09 180 0.61 "moderate" 20 168.619143405887 85665 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
600887 -122.54 48.98 60 0.61 "moderate" 140 165.576396283785 100887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
597551 -122.19 48.37 270 0.62 "moderate" -70 94.1515942397155 97551 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
586603 -122.8 46.25 270 0.62 "moderate" -70 153.758216852082 86603 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
588839 -122.69 46.69 240 0.62 "moderate" -40 105.781277905779 88839 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
587414 -122.73 46.41 150 0.62 "moderate" 50 135.260584639101 87414 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
585962 -122.79 46.14 180 0.62 "moderate" 20 164.888872986128 85962 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
596426 -122.1 48.15 150 0.62 "moderate" 50 69.143476786459 96426 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
587162 -122.97 46.36 240 0.62 "moderate" -40 148.260328917912 87162 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
588652 -122.7 46.66 370 0.63 "moderate" -170 109.091512036219 88652 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0
589146 -122.66 46.75 400 0.63 "moderate" -200 98.8179662214532 89146 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0
594325 -121.88 47.74 150 0.63 "moderate" 50 26.1059105334282 94325 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0
588449 -122.69 46.62 213 0.63 "moderate" -13 112.722116679733 88449 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
594350 -122.07 47.75 120 0.63 "moderate" 80 24.6385169815999 94350 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0
586764 -122.81 46.28 150 0.63 "moderate" 50 150.968456330121 86764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
597383 -121.97 48.34 270 0.63 "moderate" -70 90.2252859771503 97383 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
589147 -122.54 46.75 430 0.63 "moderate" -230 94.7843523960395 89147 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
591930 -122.03 47.29 150 0.63 "moderate" 50 26.6517300805632 91930 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0
590931 -122.06 47.1 300 0.64 "moderate" -100 47.8116368972593 90931 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0
587914 -122.56 46.51 300 0.64 "moderate" -100 120.194851726592 87914 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
596021 -122.05 48.07 90 0.64 "moderate" 110 60.085247112362 96021 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0
591261 -121.98 47.17 210 0.64 "moderate" -10 40.202058414191 91261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
598486 -121.83 48.55 60 0.65 "moderate" 140 114.468413396898 98486 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
585630 -122.79 46.08 210 0.65 "moderate" -10 171.163957334891 85630 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
587913 -122.74 46.51 180 0.65 "moderate" 20 125.409016757514 87913 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
582106 -122.51 45.47 226 0.65 "moderate" -26 231.84834532195 82106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
586237 -122.87 46.19 180 0.66 "moderate" 20 161.984313943763 86237 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
589360 -122.28 46.79 430 0.66 "moderate" -230 84.3160139623063 89360 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
587025 -122.96 46.33 180 0.66 "moderate" 20 150.84560198164 87025 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
595521 -121.91 47.98 210 0.67 "moderate" -10 50.9296181766924 95521 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
586238 -122.83 46.19 270 0.67 "moderate" -70 160.809345402923 86238 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
597448 -122.03 48.35 330 0.67 "moderate" -130 91.2090798499658 97448 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0
581273 -122.41 45.31 203 0.68 "moderate" -3 248.42270732002 81273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
585206 -122.69 46 210 0.68 "moderate" -10 177.268112726234 85206 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
597034 -122.03 48.27 30 0.68 "moderate" 170 82.3134399204843 97034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
600780 -122.49 48.96 30 0.69 "moderate" 170 162.599778381485 100780 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
598078 -122.15 48.48 150 0.69 "moderate" 50 106.015107640424 98078 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
588211 -122.58 46.57 150 0.69 "moderate" 50 114.459627184801 88211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
587226 -123.04 46.37 150 0.69 "moderate" 50 149.932025520666 87226 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
600619 -122.4 48.93 20 0.69 "moderate" 180 158.05552925369 100619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
600549 -122.39 48.92 30 0.69 "moderate" 170 156.833744232142 100549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
587485 -122.7 46.42 120 0.69 "moderate" 80 133.353073546034 87485 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0
599201 -122.28 48.67 230 0.69 "moderate" -30 128.104023781422 99201 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
580561 -122.5 45.19 244 0.7 "moderate" -44 262.531467712778 80561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
597298 -122.26 48.32 360 0.7 "moderate" -160 89.4738478535795 97298 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
585329 -122.73 46.02 240 0.7 "moderate" -40 176.031518433883 85329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
586644 -123 46.26 180 0.7 "moderate" 20 159.17281802402 86644 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
599492 -122.39 48.72 360 0.7 "moderate" -160 134.972339436777 99492 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
587124 -122.75 46.35 120 0.71 "moderate" 80 142.010507709957 87124 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
596187 -121.9 48.1 220 0.71 "moderate" -20 64.2048422293268 96187 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
