"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
419919 -122.81 49.17 90 0.64 "moderate" 110 191.23630204681 1560883 36 "Sitka_Coastal_Conifer_Forest"
150186 -122.04 47.7 94 0.64 "moderate" 106 18.9389494786571 482542 31 "Oregonian_Coastal_Conifer_Forest"
148878 -121.96 47.75 11 0.64 "moderate" 189 25.1252842153249 477348 32 "Cascade-Sierran_Montane_Conifer_Forest"
419854 -122.46 49.08 94 0.64 "moderate" 106 175.252826581613 1560616 36 "Sitka_Coastal_Conifer_Forest"
150030 -122 47.18 225 0.64 "moderate" -25 38.9661360598492 481945 31 "Oregonian_Coastal_Conifer_Forest"
148789 -122.19 46.91 472 0.64 "moderate" -272 69.8947062523587 476986 32 "Cascade-Sierran_Montane_Conifer_Forest"
417172 -122.24 49.13 1 0.64 "moderate" 199 178.599113146659 1549856 36 "Sitka_Coastal_Conifer_Forest"
149796 -122.7 46.18 219 0.65 "moderate" -19 158.392805979692 481033 31 "Oregonian_Coastal_Conifer_Forest"
417183 -121.82 49.15 14 0.65 "moderate" 186 180.87251681198 1549898 36 "Sitka_Coastal_Conifer_Forest"
419959 -123.12 49.23 88 0.65 "moderate" 112 205.452023775775 1561045 36 "Sitka_Coastal_Conifer_Forest"
419901 -122.01 49.13 2 0.65 "moderate" 198 177.957392472185 1560811 36 "Sitka_Coastal_Conifer_Forest"
417171 -122.25 49.13 2 0.65 "moderate" 198 178.663881337329 1549855 36 "Sitka_Coastal_Conifer_Forest"
150119 -122.09 47.44 158 0.65 "moderate" 42 10.8145151019488 482232 31 "Oregonian_Coastal_Conifer_Forest"
419897 -122.57 49.13 7 0.65 "moderate" 193 182.322901586888 1560798 36 "Sitka_Coastal_Conifer_Forest"
417173 -122.2 49.13 1 0.65 "moderate" 199 178.37062150133 1549858 36 "Sitka_Coastal_Conifer_Forest"
419873 -122.54 49.1 73 0.65 "moderate" 127 178.590501620546 1560685 36 "Sitka_Coastal_Conifer_Forest"
417220 -122.89 49.21 61 0.65 "moderate" 139 197.299935350463 1550043 36 "Sitka_Coastal_Conifer_Forest"
417282 -123.04 49.26 34 0.65 "moderate" 166 206.30661381864 1550244 36 "Sitka_Coastal_Conifer_Forest"
409267 -122.68 49.03 39 0.65 "moderate" 161 173.568234309095 1518343 31 "Oregonian_Coastal_Conifer_Forest"
419853 -122.47 49.08 97 0.65 "moderate" 103 175.387921686286 1560615 36 "Sitka_Coastal_Conifer_Forest"
419912 -121.91 49.15 8 0.66 "moderate" 192 180.408545054359 1560861 36 "Sitka_Coastal_Conifer_Forest"
149615 -122.48 45.27 237 0.67 "moderate" -37 253.510674182685 480312 31 "Oregonian_Coastal_Conifer_Forest"
417176 -122.09 49.13 5 0.67 "moderate" 195 177.995686156566 1549865 36 "Sitka_Coastal_Conifer_Forest"
148905 -121.91 47.98 209 0.67 "moderate" -9 50.9296181766924 477455 32 "Cascade-Sierran_Montane_Conifer_Forest"
419984 -123.48 49.41 125 0.67 "moderate" 75 234.81404168478 1561165 36 "Sitka_Coastal_Conifer_Forest"
417169 -122.2 49.11 33 0.67 "moderate" 167 176.15188564328 1549839 36 "Sitka_Coastal_Conifer_Forest"
409252 -122.63 49 67 0.67 "moderate" 133 169.361559633697 1518287 31 "Oregonian_Coastal_Conifer_Forest"
419986 -123.66 49.43 80 0.67 "moderate" 120 243.080178405675 1561173 36 "Sitka_Coastal_Conifer_Forest"
149653 -122.43 45.49 159 0.68 "moderate" 41 228.757515065364 480460 31 "Oregonian_Coastal_Conifer_Forest"
150345 -122.17 48.7 87 0.68 "moderate" 113 130.519119650396 483210 31 "Oregonian_Coastal_Conifer_Forest"
149623 -122.43 45.31 226 0.68 "moderate" -26 248.605955756524 480345 31 "Oregonian_Coastal_Conifer_Forest"
417155 -121.8 49.06 193 0.68 "moderate" 7 171.050331574086 1549787 36 "Sitka_Coastal_Conifer_Forest"
419867 -122.84 49.1 64 0.69 "moderate" 136 184.546788267537 1560667 36 "Sitka_Coastal_Conifer_Forest"
149639 -122.43 45.4 220 0.69 "moderate" -20 238.678545129467 480405 31 "Oregonian_Coastal_Conifer_Forest"
417327 -123.13 49.31 22 0.69 "moderate" 178 213.923252032999 1550421 36 "Sitka_Coastal_Conifer_Forest"
422012 -121.82 49.12 146 0.69 "moderate" 54 177.549729550882 1569336 36 "Sitka_Coastal_Conifer_Forest"
419988 -123.47 49.43 36 0.69 "moderate" 164 236.454584988802 1561178 36 "Sitka_Coastal_Conifer_Forest"
417192 -121.83 49.16 9 0.69 "moderate" 191 181.916979407378 1549932 36 "Sitka_Coastal_Conifer_Forest"
417191 -121.85 49.16 8 0.69 "moderate" 192 181.799483056975 1549931 36 "Sitka_Coastal_Conifer_Forest"
419877 -122.36 49.1 80 0.69 "moderate" 120 176.272366208535 1560696 36 "Sitka_Coastal_Conifer_Forest"
417203 -122.84 49.2 26 0.7 "moderate" 174 195.084317165677 1549987 36 "Sitka_Coastal_Conifer_Forest"
417153 -121.92 49.06 179 0.7 "moderate" 21 170.375206339294 1549781 36 "Sitka_Coastal_Conifer_Forest"
419927 -122.99 49.18 1 0.7 "moderate" 199 196.693623236381 1560923 36 "Sitka_Coastal_Conifer_Forest"
409266 -122.72 49.03 61 0.7 "moderate" 139 174.410817592005 1518341 31 "Oregonian_Coastal_Conifer_Forest"
149654 -122.39 45.49 137 0.71 "moderate" 63 228.370610752057 480461 31 "Oregonian_Coastal_Conifer_Forest"
419924 -121.86 49.17 9 0.71 "moderate" 191 182.854475747437 1560909 36 "Sitka_Coastal_Conifer_Forest"
150215 -122 47.83 38 0.71 "moderate" 162 33.4889217773709 482661 31 "Oregonian_Coastal_Conifer_Forest"
150213 -122.13 47.83 161 0.71 "moderate" 39 34.1499030067785 482658 31 "Oregonian_Coastal_Conifer_Forest"
400277 -121.87 49.08 186 0.71 "moderate" 14 172.818808893731 1482521 21 "Cascade-Sierran_Subalpine_Conifer_Forest"
417181 -122.05 49.15 1 0.71 "moderate" 199 180.1760347528 1549894 36 "Sitka_Coastal_Conifer_Forest"
150366 -122.52 48.96 47 0.72 "moderate" 153 163.077811090684 483279 31 "Oregonian_Coastal_Conifer_Forest"
149668 -122.43 45.57 175 0.72 "moderate" 25 219.944893674536 480525 31 "Oregonian_Coastal_Conifer_Forest"
422102 -121.77 49.06 223 0.72 "moderate" -23 171.291009230705 1569742 36 "Sitka_Coastal_Conifer_Forest"
149868 -123.04 46.53 133 0.72 "moderate" 67 134.880444048534 481293 31 "Oregonian_Coastal_Conifer_Forest"
417179 -122.22 49.15 1 0.72 "moderate" 199 180.696253675043 1549884 36 "Sitka_Coastal_Conifer_Forest"
417142 -122.05 48.99 193 0.72 "moderate" 7 162.382674085994 1549737 36 "Sitka_Coastal_Conifer_Forest"
160726 -122.12 48.91 248 0.73 "weak" -48 153.613304815294 524234 21 "Cascade-Sierran_Subalpine_Conifer_Forest"
149600 -122.48 45.18 195 0.73 "weak" 5 263.428249882007 480249 31 "Oregonian_Coastal_Conifer_Forest"
149795 -122.96 46.18 256 0.73 "weak" -56 165.811735384001 481027 31 "Oregonian_Coastal_Conifer_Forest"
149878 -123.04 46.57 224 0.73 "weak" -24 131.224410220755 481335 31 "Oregonian_Coastal_Conifer_Forest"
417180 -122.14 49.15 1 0.73 "weak" 199 180.341991814805 1549889 36 "Sitka_Coastal_Conifer_Forest"
419899 -122.47 49.13 28 0.74 "weak" 172 180.853410238696 1560804 36 "Sitka_Coastal_Conifer_Forest"
149624 -122.39 45.31 214 0.74 "weak" -14 248.248840943547 480346 31 "Oregonian_Coastal_Conifer_Forest"
422103 -121.74 49.06 244 0.74 "weak" -44 171.560224985428 1569744 36 "Sitka_Coastal_Conifer_Forest"
419886 -122.51 49.12 62 0.74 "weak" 138 180.316177318823 1560749 36 "Sitka_Coastal_Conifer_Forest"
419887 -122.47 49.12 64 0.74 "weak" 136 179.759842183755 1560751 36 "Sitka_Coastal_Conifer_Forest"
417177 -122.44 49.15 1 0.75 "weak" 199 182.66218615946 1549871 36 "Sitka_Coastal_Conifer_Forest"
149646 -122.48 45.44 149 0.75 "weak" 51 234.796639399939 480429 31 "Oregonian_Coastal_Conifer_Forest"
419978 -123.32 49.38 108 0.75 "weak" 92 226.651437305148 1561143 36 "Sitka_Coastal_Conifer_Forest"
149867 -123.13 46.53 70 0.75 "weak" 130 138.870994830223 481291 31 "Oregonian_Coastal_Conifer_Forest"
417201 -121.83 49.18 9 0.75 "weak" 191 184.133350921295 1549977 36 "Sitka_Coastal_Conifer_Forest"
420009 -123.75 49.51 139 0.75 "weak" 61 254.055463146012 1561266 36 "Sitka_Coastal_Conifer_Forest"
417190 -122.02 49.16 1 0.76 "weak" 199 181.287684458356 1549928 36 "Sitka_Coastal_Conifer_Forest"
417218 -121.7 49.2 22 0.76 "weak" 178 187.378966053453 1550039 36 "Sitka_Coastal_Conifer_Forest"
419874 -122.51 49.1 101 0.76 "weak" 99 178.13679092635 1560687 36 "Sitka_Coastal_Conifer_Forest"
149614 -122.52 45.27 195 0.76 "weak" 5 253.944442457353 480311 31 "Oregonian_Coastal_Conifer_Forest"
149811 -122.7 46.27 267 0.76 "weak" -67 148.936402409153 481080 31 "Oregonian_Coastal_Conifer_Forest"
149610 -122.52 45.23 197 0.76 "weak" 3 258.344369909181 480278 31 "Oregonian_Coastal_Conifer_Forest"
149879 -122.74 46.57 175 0.76 "weak" 25 119.400786524083 481342 31 "Oregonian_Coastal_Conifer_Forest"
149880 -122.65 46.57 151 0.76 "weak" 49 116.491141236794 481344 31 "Oregonian_Coastal_Conifer_Forest"
419958 -123.14 49.23 60 0.76 "weak" 140 206.036141976051 1561044 36 "Sitka_Coastal_Conifer_Forest"
150365 -122.57 48.96 62 0.77 "weak" 138 163.938725854612 483278 31 "Oregonian_Coastal_Conifer_Forest"
149774 -122.83 46.05 173 0.77 "weak" 27 175.346574228632 480939 31 "Oregonian_Coastal_Conifer_Forest"
419896 -122.62 49.13 59 0.77 "weak" 141 183.165782185089 1560795 36 "Sitka_Coastal_Conifer_Forest"
419916 -122.97 49.17 1 0.77 "weak" 199 195.127523211402 1560873 36 "Sitka_Coastal_Conifer_Forest"
419875 -122.49 49.1 103 0.77 "weak" 97 177.849135722874 1560688 36 "Sitka_Coastal_Conifer_Forest"
409265 -122.76 49.03 89 0.77 "weak" 111 175.29962082915 1518339 31 "Oregonian_Coastal_Conifer_Forest"
419935 -121.9 49.18 8 0.77 "weak" 192 183.779200734306 1560951 36 "Sitka_Coastal_Conifer_Forest"
422104 -121.72 49.06 272 0.78 "weak" -72 171.755490950403 1569746 36 "Sitka_Coastal_Conifer_Forest"
149859 -123 46.49 293 0.78 "weak" -93 136.928229869097 481252 31 "Oregonian_Coastal_Conifer_Forest"
149820 -123 46.31 125 0.78 "weak" 75 154.249567233496 481106 31 "Oregonian_Coastal_Conifer_Forest"
