Common_Name,Genus,Species,Variety,Subspecies,PLANTS_Code
Wallenia lamarckiana,Wallenia,lamarckiana,NA,NA,WALA
California fan palm,Washingtonia,filifera,NA,NA,WAFI
Washington fan palm,Washingtonia,robusta,NA,NA,WARO
Weinmannia affinis,Weinmannia,affinis,NA,NA,WEAF
bastard briziletto,Weinmannia,pinnata,NA,NA,WEPI
alpine false ohelo,Wikstroemia,bicornuta,NA,NA,WIBI
forest false ohelo,Wikstroemia,furcata,NA,NA,WIFU
montane false ohelo,Wikstroemia,monticola,NA,NA,WIMO
Oahu false ohelo,Wikstroemia,oahuensis,NA,NA,WIOA
Hawaii false ohelo,Wikstroemia,phillyreifolia,NA,NA,WIPH2
Kohala false ohelo,Wikstroemia,pulcherrima,NA,NA,WIPU
variableleaf false ohelo,Wikstroemia,sandwicensis,NA,NA,WISA
Skottsbergs false ohelo,Wikstroemia,skottsbergiana,NA,NA,WISK
false ohelo,Wikstroemia,sppNA,NA,NA,WIKST
hairy false ohelo,Wikstroemia,villosa,NA,NA,WIVI
tallow wood,Ximenia,americana,NA,NA,XIAM
lalanyog,Xylocarpus,granatum,NA,NA,XYGR
leilei,Xylocarpus,moluccensis,NA,NA,XYMO2
mucha-gente,Xylosma,buxifolia,NA,NA,XYBU
dense logwood,Xylosma,congestum,NA,NA,XYCO7
sawtooth logwood,Xylosma,crenata,NA,NA,XYCR
Hawaii brushholly,Xylosma,hawaiiensis,NA,NA,XYHA
Xylosma nelsonii,Xylosma,nelsonii,NA,NA,XYNE2
spiny logwood,Xylosma,pachyphylla,NA,NA,XYPA2
Xylosma samoensis,Xylosma,samoensis,NA,NA,XYSA
white logwood,Xylosma,schaefferioides,NA,NA,XYSC2
Schwaneck's logwood,Xylosma,schwaneckeana,NA,NA,XYSC3
aloe yucca,Yucca,aloifolia,NA,NA,YUAL
Eve's needle,Yucca,faxoniana,NA,NA,YUFA
moundlily yucca,Yucca,gloriosa,NA,NA,YUGL2
bluestem yucca,Yucca,guatemalensis,NA,NA,YUGU
Maricao pricklyash,Zanthoxylum,bifoliolatum,NA,NA,ZABI
prickly yellow,Zanthoxylum,caribaeum,NA,NA,ZACA3
kawau,Zanthoxylum,dipetalum,NA,NA,ZADI
West Indian satinwood,Zanthoxylum,flavum,NA,NA,ZAFL
Hawaii pricklyash,Zanthoxylum,hawaiiense,NA,NA,ZAHA
Kauai pricklyash,Zanthoxylum,kauaense,NA,NA,ZAKA
white pricklyash,Zanthoxylum,martinicense,NA,NA,ZAMA
yellow prickle,Zanthoxylum,monophyllum,NA,NA,ZAMO
Oahu pricklyash,Zanthoxylum,oahuense,NA,NA,ZAOA
dotted pricklyash,Zanthoxylum,punctatum,NA,NA,ZAPU2
niaragato,Zanthoxylum,spinifex,NA,NA,ZASP
StNA Thomas pricklyash,Zanthoxylum,thomasianum,NA,NA,ZATH
Zapoteca portoricensis,Zapoteca,portoricensis,NA,NA,ZAPO2
Japanese zelkova,Zelkova,serrata,NA,NA,ZESE80
Indian jujube,Ziziphus,mauritiana,NA,NA,ZIMA
cacao rojo,Ziziphus,reticulata,NA,NA,ZIRE
soana,Ziziphus,rignonii,NA,NA,ZIRI
Taylor's jujube,Ziziphus,taylorii,NA,NA,ZITA
