"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_fia" "ABAM" "ABCO" "ABGR" "ABPR" "CHLA" "CHNO" "CADE27" "PISI" "PIAT" "PICO" "PILA" "PIMO3" "PIPO" "PSME" "SESE3" "TABR2" "THPL" "TOCA" "TSHE" "TSME" "POTR5" "POBAT" "QUGA4"
584379 -122.61 45.86 120 1.07 "under_thresh" 80 190.758648293446 84379 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
570282 -122.89 43.72 396 1.07 "under_thresh" -196 428.641056630236 70282 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
587227 -122.7 46.37 210 1.07 "under_thresh" -10 138.519356463855 87227 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
571216 -122.83 43.84 460 1.08 "under_thresh" -260 414.741523221051 71216 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0
587616 -122.66 46.45 210 1.08 "under_thresh" -10 129.116871593044 87616 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
570354 -122.69 43.73 491 1.08 "under_thresh" -291 425.391566395966 70354 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
581766 -122.49 45.41 91 1.08 "under_thresh" 109 238.208629462468 81766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
585329 -122.73 46.02 240 1.08 "under_thresh" -40 176.031518433883 85329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
585630 -122.79 46.08 210 1.08 "under_thresh" -10 171.163957334891 85630 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
588212 -122.48 46.57 190 1.08 "under_thresh" 10 111.932527759225 88212 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
576052 -122.87 44.48 305 1.09 "under_thresh" -105 345.094466134196 76052 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1
588021 -122.59 46.53 210 1.09 "under_thresh" -10 118.888435701018 88021 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
578508 -122.78 44.86 183 1.09 "under_thresh" 17 302.274693671084 78508 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
586086 -122.76 46.16 230 1.09 "under_thresh" -30 162.008479402567 86086 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
584694 -122.59 45.91 240 1.09 "under_thresh" -40 184.993944995 84694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
574532 -122.88 44.27 373 1.09 "under_thresh" -173 368.20007182968 74532 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
571808 -122.62 43.91 491 1.09 "under_thresh" -291 404.885125961018 71808 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
570045 -122.83 43.69 491 1.09 "under_thresh" -291 431.239403334436 70045 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
573485 -122.95 44.13 305 1.1 "under_thresh" -105 384.498987630584 73485 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
577441 -122.73 44.68 152 1.1 "under_thresh" 48 321.281812856255 77441 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
580187 -122.54 45.13 104 1.1 "under_thresh" 96 269.56851624209 80187 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1
584693 -122.69 45.91 140 1.1 "under_thresh" 60 186.896697855896 84693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
587733 -122.66 46.47 240 1.1 "under_thresh" -40 127.049472700257 87733 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
570191 -122.97 43.71 366 1.11 "under_thresh" -166 430.750783111192 70191 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
575560 -122.91 44.41 324 1.11 "under_thresh" -124 353.326956693586 75560 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
585804 -122.81 46.11 150 1.11 "under_thresh" 50 168.552287205895 85804 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
580503 -122.43 45.18 305 1.11 "under_thresh" -105 262.955311799277 80503 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
588054 -122.58 46.54 180 1.11 "under_thresh" 20 117.578414838244 88054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
571412 -122.56 43.86 521 1.11 "under_thresh" -321 409.915726439105 71412 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
573847 -122.83 44.18 241 1.11 "under_thresh" -41 377.399389496446 73847 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
586685 -122.73 46.27 240 1.11 "under_thresh" -40 149.729994132191 86685 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
571530 -122.82 43.88 305 1.12 "under_thresh" -105 410.227632070828 71530 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
586871 -122.73 46.3 240 1.12 "under_thresh" -40 146.610598127891 86871 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
573484 -122.96 44.13 396 1.12 "under_thresh" -196 384.643315469575 73484 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
581477 -122.47 45.35 61 1.12 "under_thresh" 139 244.594428342043 81477 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0
571870 -122.87 43.92 305 1.12 "under_thresh" -105 406.434075384958 71870 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
588251 -122.49 46.58 180 1.13 "under_thresh" 20 111.106790077099 88251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
575697 -122.79 44.43 239 1.13 "under_thresh" -39 349.468105989048 75697 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
571534 -122.39 43.88 521 1.13 "under_thresh" -321 406.590157211065 71534 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0
588310 -122.59 46.59 270 1.13 "under_thresh" -70 112.669640401966 88310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
579890 -122.61 45.08 133 1.13 "under_thresh" 67 275.88516432543 79890 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
569792 -122.69 43.66 549 1.14 "under_thresh" -349 433.11733616315 69792 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0
