"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
149356 -123.26 43.79 298 1.25 "under_thresh" -98 426.464312998089 479272 31 "Oregonian_Coastal_Conifer_Forest"
149370 -123.17 43.88 289 1.25 "under_thresh" -89 415.160524992292 479341 31 "Oregonian_Coastal_Conifer_Forest"
419879 -122.08 49.1 1 1.25 "under_thresh" 199 174.644362996683 1560707 36 "Sitka_Coastal_Conifer_Forest"
148948 -121.91 48.26 91 1.25 "under_thresh" 109 81.7327040211079 477590 32 "Cascade-Sierran_Montane_Conifer_Forest"
149911 -123.22 46.79 92 1.25 "under_thresh" 108 121.832385852305 481524 31 "Oregonian_Coastal_Conifer_Forest"
149366 -123.04 43.84 302 1.25 "under_thresh" -102 417.495427337088 479311 31 "Oregonian_Coastal_Conifer_Forest"
149878 -123.04 46.57 224 1.25 "under_thresh" -24 131.224410220755 481335 31 "Oregonian_Coastal_Conifer_Forest"
419901 -122.01 49.13 2 1.26 "under_thresh" 198 177.957392472185 1560811 36 "Sitka_Coastal_Conifer_Forest"
149323 -123.61 43.66 128 1.26 "under_thresh" 72 447.288053334172 479168 31 "Oregonian_Coastal_Conifer_Forest"
149781 -123.09 46.09 123 1.26 "under_thresh" 77 179.175022699648 480965 31 "Oregonian_Coastal_Conifer_Forest"
419827 -122.16 49.05 2 1.26 "under_thresh" 198 169.307458226619 1560510 36 "Sitka_Coastal_Conifer_Forest"
149574 -122.7 45.01 127 1.26 "under_thresh" 73 284.737466491129 480131 31 "Oregonian_Coastal_Conifer_Forest"
419814 -122.11 49.03 1 1.26 "under_thresh" 199 166.921054764654 1560472 36 "Sitka_Coastal_Conifer_Forest"
149299 -123.78 43.49 190 1.26 "under_thresh" 10 469.20697851995 479048 31 "Oregonian_Coastal_Conifer_Forest"
148377 -122.74 43.43 680 1.26 "under_thresh" -480 458.966228546431 475238 32 "Cascade-Sierran_Montane_Conifer_Forest"
419888 -122.01 49.12 12 1.26 "under_thresh" 188 176.845331035802 1560764 36 "Sitka_Coastal_Conifer_Forest"
148387 -122.61 43.47 658 1.27 "under_thresh" -458 453.433946922089 475274 32 "Cascade-Sierran_Montane_Conifer_Forest"
419813 -122.14 49.03 1 1.27 "under_thresh" 199 167.010606801078 1560470 36 "Sitka_Coastal_Conifer_Forest"
417176 -122.09 49.13 5 1.27 "under_thresh" 195 177.995686156566 1549865 36 "Sitka_Coastal_Conifer_Forest"
149333 -123.39 43.71 426 1.27 "under_thresh" -226 437.481441528689 479203 31 "Oregonian_Coastal_Conifer_Forest"
149924 -123 46.83 93 1.27 "under_thresh" 107 106.802620119791 481573 31 "Oregonian_Coastal_Conifer_Forest"
419902 -121.95 49.13 11 1.27 "under_thresh" 189 178.058358840773 1560815 36 "Sitka_Coastal_Conifer_Forest"
419889 -122 49.12 13 1.27 "under_thresh" 187 176.854501092562 1560765 36 "Sitka_Coastal_Conifer_Forest"
150087 -121.96 47.35 193 1.27 "under_thresh" 7 20.754199390671 482128 31 "Oregonian_Coastal_Conifer_Forest"
149354 -123.52 43.79 311 1.27 "under_thresh" -111 431.447211504582 479266 31 "Oregonian_Coastal_Conifer_Forest"
148889 -121.86 47.88 106 1.27 "under_thresh" 94 41.0907778782936 477405 32 "Cascade-Sierran_Montane_Conifer_Forest"
149723 -122.57 45.79 73 1.27 "under_thresh" 127 197.686277076743 480729 31 "Oregonian_Coastal_Conifer_Forest"
419890 -121.96 49.12 15 1.27 "under_thresh" 185 176.922251519062 1560767 36 "Sitka_Coastal_Conifer_Forest"
419805 -122.13 49.02 1 1.27 "under_thresh" 199 165.866400064627 1560432 36 "Sitka_Coastal_Conifer_Forest"
148354 -122.79 43.29 684 1.27 "under_thresh" -484 474.889568233006 475141 32 "Cascade-Sierran_Montane_Conifer_Forest"
417181 -122.05 49.15 1 1.27 "under_thresh" 199 180.1760347528 1549894 36 "Sitka_Coastal_Conifer_Forest"
148435 -122.37 43.75 589 1.27 "under_thresh" -389 420.904343221556 475459 32 "Cascade-Sierran_Montane_Conifer_Forest"
149902 -123.26 46.75 88 1.27 "under_thresh" 112 127.102888140615 481480 31 "Oregonian_Coastal_Conifer_Forest"
419893 -121.88 49.12 15 1.28 "under_thresh" 185 177.206644451731 1560772 36 "Sitka_Coastal_Conifer_Forest"
419892 -121.91 49.12 15 1.28 "under_thresh" 185 177.076768341505 1560770 36 "Sitka_Coastal_Conifer_Forest"
148353 -122.88 43.29 264 1.28 "under_thresh" -64 475.816610462802 475139 32 "Cascade-Sierran_Montane_Conifer_Forest"
417173 -122.2 49.13 1 1.28 "under_thresh" 199 178.37062150133 1549858 36 "Sitka_Coastal_Conifer_Forest"
149763 -122.96 46.01 221 1.28 "under_thresh" -21 183.129727179366 480897 31 "Oregonian_Coastal_Conifer_Forest"
419803 -122.18 49.02 1 1.28 "under_thresh" 199 166.06636619278 1560429 36 "Sitka_Coastal_Conifer_Forest"
419912 -121.91 49.15 8 1.28 "under_thresh" 192 180.408545054359 1560861 36 "Sitka_Coastal_Conifer_Forest"
419903 -121.86 49.13 14 1.28 "under_thresh" 186 178.417760311412 1560820 36 "Sitka_Coastal_Conifer_Forest"
419804 -122.16 49.02 1 1.28 "under_thresh" 199 165.976452741198 1560430 36 "Sitka_Coastal_Conifer_Forest"
417190 -122.02 49.16 1 1.28 "under_thresh" 199 181.287684458356 1549928 36 "Sitka_Coastal_Conifer_Forest"
149432 -122.74 44.23 458 1.28 "under_thresh" -258 370.820301572345 479624 31 "Oregonian_Coastal_Conifer_Forest"
149387 -123.26 44.01 199 1.28 "under_thresh" 1 402.63471677059 479438 31 "Oregonian_Coastal_Conifer_Forest"
149652 -122.57 45.49 108 1.28 "under_thresh" 92 230.428719239436 480457 31 "Oregonian_Coastal_Conifer_Forest"
